# Cathode TotalCurrent(HeavyIon_n190_des) X,Cathode TotalCurrent(HeavyIon_n190_des) Y
0,2.4377206e-07
1e-11,2.4010741e-07
2e-11,2.4244553e-07
3e-11,2.4320586e-07
4e-11,2.4353016e-07
5e-11,2.4366852e-07
6e-11,2.4372742e-07
7e-11,2.4375266e-07
8e-11,2.4376342e-07
9e-11,2.5077558e-07
1e-10,0.012092468
1.1e-10,0.030520624
1.2e-10,0.036609051
1.3e-10,0.039569723
1.4e-10,0.041072743
1.5e-10,0.041875939
1.6e-10,0.042334043
1.7e-10,0.042618378
1.8e-10,0.04281316
1.9e-10,0.042959625
2e-10,0.043077339
2.1e-10,0.043174954
2.2e-10,0.043255774
2.3e-10,0.043320668
2.4e-10,0.043369567
2.5e-10,0.043402186
2.6e-10,0.043418349
2.7e-10,0.0434181
2.8e-10,0.043401719
2.9e-10,0.043369696
3e-10,0.043322692
3.1e-10,0.043261506
3.2e-10,0.043187043
3.3e-10,0.043100287
3.4e-10,0.043002283
3.5e-10,0.042894121
3.6e-10,0.042776919
3.7e-10,0.042651816
3.8e-10,0.042519952
3.9e-10,0.042382463
4e-10,0.04224047
4.1e-10,0.042095063
4.2e-10,0.041947297
4.3e-10,0.04179818
4.4e-10,0.041648664
4.5e-10,0.041499642
4.6e-10,0.041351935
4.7e-10,0.041206292
4.8e-10,0.041063383
4.9e-10,0.040923797
5e-10,0.040788039
5.1e-10,0.040656528
5.2e-10,0.040529599
5.3e-10,0.040407503
5.4e-10,0.040290408
5.5e-10,0.040178402
5.6e-10,0.040071497
5.7e-10,0.039969632
5.8e-10,0.039872681
5.9e-10,0.039780454
6e-10,0.039692705
6.1e-10,0.039609137
6.2e-10,0.03952941
6.3e-10,0.039453143
6.4e-10,0.039379924
6.5e-10,0.039309311
6.6e-10,0.039240843
6.7e-10,0.039174039
6.8e-10,0.039108404
6.9e-10,0.039043437
7e-10,0.038978627
7.1e-10,0.038913463
7.2e-10,0.038847433
7.3e-10,0.038780026
7.4e-10,0.038710733
7.5e-10,0.038639051
7.6e-10,0.03856448
7.7e-10,0.038486526
7.8e-10,0.0384047
7.9e-10,0.038318516
8e-10,0.038227494
8.1e-10,0.038131156
8.2e-10,0.038029027
8.3e-10,0.037920631
8.4e-10,0.037805494
8.5e-10,0.037683138
8.6e-10,0.037553084
8.7e-10,0.037414848
8.8e-10,0.037267947
8.9e-10,0.037111897
9e-10,0.036946219
9.1e-10,0.036770447
9.2e-10,0.036584137
9.3e-10,0.036386878
9.4e-10,0.036178314
9.5e-10,0.035958156
9.6e-10,0.035726205
9.7e-10,0.03548236
9.8e-10,0.03522664
9.9e-10,0.034959191
1e-09,0.034680289
1.01e-09,0.03439033
1.02e-09,0.03408981
1.03e-09,0.033779291
1.04e-09,0.033459373
1.05e-09,0.033130664
1.06e-09,0.032793773
1.07e-09,0.03244929
1.08e-09,0.032097794
1.09e-09,0.031739845
1.1e-09,0.031375993
1.11e-09,0.031006779
1.12e-09,0.030632736
1.13e-09,0.03025439
1.14e-09,0.029872259
1.15e-09,0.02948685
1.16e-09,0.029098659
1.17e-09,0.028708164
1.18e-09,0.028315824
1.19e-09,0.027922078
1.2e-09,0.027527341
1.21e-09,0.027132005
1.22e-09,0.026736433
1.23e-09,0.026340966
1.24e-09,0.025945917
1.25e-09,0.025551578
1.26e-09,0.025158214
1.27e-09,0.024766071
1.28e-09,0.024375373
1.29e-09,0.023986328
1.3e-09,0.023599122
1.31e-09,0.023213932
1.32e-09,0.022830919
1.33e-09,0.022450233
1.34e-09,0.022072012
1.35e-09,0.021696387
1.36e-09,0.021323482
1.37e-09,0.020953415
1.38e-09,0.020586298
1.39e-09,0.020222237
1.4e-09,0.019861337
1.41e-09,0.019503699
1.42e-09,0.019149422
1.43e-09,0.018798601
1.44e-09,0.018451332
1.45e-09,0.018107706
1.46e-09,0.017767814
1.47e-09,0.017431747
1.48e-09,0.017099592
1.49e-09,0.016771436
1.5e-09,0.016447362
1.51e-09,0.016127453
1.52e-09,0.015811789
1.53e-09,0.01550045
1.54e-09,0.015193509
1.55e-09,0.014891041
1.56e-09,0.014593114
